transaction_id,kept_order_id,trashed_order_id
4469776,24636,24944
4469776,24636,24993
4469776,24636,25042
4469776,24636,25099
4469776,24636,25148
4469776,24636,25197
4469776,24636,25246
4469776,24636,25295
4466708,24637,24686
4466708,24637,24735
4466708,24637,24784
4466708,24637,24798
4466708,24637,24847
4466708,24637,24896
4466708,24637,24945
4466708,24637,24994
4466708,24637,25043
4466708,24637,25100
4466708,24637,25149
4466708,24637,25198
4466708,24637,25247
4466708,24637,25296
4466528,24638,24687
4466528,24638,24736
4466528,24638,24785
4466528,24638,24799
4466528,24638,24848
4466528,24638,24897
4466528,24638,24946
4466528,24638,24995
4466528,24638,25044
4466528,24638,25101
4466528,24638,25150
4466528,24638,25199
4466528,24638,25248
4466528,24638,25297
4464477,24639,24688
4464477,24639,24737
4464477,24639,24800
4464477,24639,24849
4464477,24639,24898
4464477,24639,24947
4464477,24639,24996
4464477,24639,25045
4464477,24639,25102
4464477,24639,25151
4464477,24639,25200
4464477,24639,25249
4464477,24639,25298
4462137,24640,24689
4462137,24640,24738
4462137,24640,24801
4462137,24640,24850
4462137,24640,24899
4462137,24640,24948
4462137,24640,24997
4462137,24640,25046
4462137,24640,25103
4462137,24640,25152
4462137,24640,25201
4462137,24640,25250
4462137,24640,25299
4462009,24641,24690
4462009,24641,24739
4462009,24641,24802
4462009,24641,24851
4462009,24641,24900
4462009,24641,24949
4462009,24641,24998
4462009,24641,25047
4462009,24641,25104
4462009,24641,25153
4462009,24641,25202
4462009,24641,25251
4462009,24641,25300
4461674,24642,24691
4461674,24642,24740
4461674,24642,24803
4461674,24642,24852
4461674,24642,24901
4461674,24642,24950
4461674,24642,24999
4461674,24642,25048
4461674,24642,25105
4461674,24642,25154
4461674,24642,25203
4461674,24642,25252
4461674,24642,25301
4459849,24643,24692
4459849,24643,24741
4459849,24643,24804
4459849,24643,24853
4459849,24643,24902
4459849,24643,24951
4459849,24643,25000
4459849,24643,25049
4459849,24643,25106
4459849,24643,25155
4459849,24643,25204
4459849,24643,25253
4459849,24643,25302
4459424,24644,24693
4459424,24644,24742
4459424,24644,24805
4459424,24644,24854
4459424,24644,24903
4459424,24644,24952
